title,author,publish_date,synopsis,genre,purchase_link,img_link
Lost in the Lakes: Notes from a 379-Mile Walk in the Lake District (Hardback),Tom Chesshyre,"From Penrith to Ullswater, via Keswick, Cockermouth, Coniston, Grasmere and Windermere, plus many places in between, Tom Chesshyre puts on his walking boots and sets forth along the trails, drawn onwards by the dramatic scenery that attracts more than 19 million visitors each year. Across landscape that so inspired the Romantic poets, he takes in remote parts of the parkland that many tourists miss - enjoying encounters aplenty with farmers, fell runners and fellow hikers, while staying in shepherds' huts, bothies and old climbers' hotels along the way, and even going for a (chilly) dip in Derwentwater. This is the Lake District seen from its walking paths - with just a backpack, an open mind... and a spring in the step.",2023-04-13,"['travel', 'maps', 'travelwriting', '', 'travel', 'maps', 'activeoutdoorpursuits', 'walking', 'hiking', 'trekking']",https://www.waterstones.com/book/lost-in-the-lakes/tom-chesshyre/9781800075191,https://cdn.waterstones.com/bookjackets/large/9781/8000/9781800075191.jpg
Hang the Moon (Hardback),Jeannette Walls,"From Jeannette Walls, the bestselling author of The Glass Castle, a riveting new novel about an indomitable young woman in Prohibition-era Virginia Most folk thought Sallie Kincaid was a nobody who'd amount to nothing. Sallie had other plans. Sallie Kincaid is the daughter of the biggest man in a small town, the charismatic Duke Kincaid. Born at the turn of the twentieth century into a life of comfort and privilege, Sallie remembers little about her mother, who died in a violent argument with the Duke. By the time she is just eight years old, the Duke has remarried and had a son, Eddie. While Sallie is the Duke's daughter, sharp-witted and resourceful, Eddie is his mother's son, timid and cerebral. When Sallie tries to teach young Eddie to be more like their father, her daredevil coaching leads to an accident, and Sallie is cast out. Nine years later, she returns, determined to reclaim her place in the family. That's a lot more complicated than Sallie expected, and she enters a world of conflict and lawlessness. Sallie confronts the secrets and scandals that hide in the shadows of the Big House, navigates the factions in the family and town, and finally comes into her own as a bold, sometimes reckless bootlegger.",2023-04-13,"['fiction', 'modern', 'contemporaryfiction']",https://www.waterstones.com/book/hang-the-moon/jeannette-walls/9781471154973,https://cdn.waterstones.com/bookjackets/large/9781/4711/9781471154973.jpg
The Bowerbird (Hardback),Julia Donaldson,"The Bowerbird is the irresistible tale of Bert - a small bird with a very big heart, from Number One bestselling Julia Donaldson and Kate Greenway Medal-winning Catherine Rayner. Bert the bowerbird is looking for love. He has made the most perfect bower, complete with a pretty purple flower, and is hoping it will help him to meet the bird of his dreams. But when Nanette comes along, she is far from impressed. Poor Bert is hurt, and flies off to bring her presents a-plenty. But will it ever be enough, and is Nanette really right for Bert? A beautifully illustrated treat of a book from the creators of The Go-Away Bird.",2023-03-30,"[""children's"", 'teenage', 'picturebooks', 'storybooks', '', 'popularscience', 'nature', 'naturewriting', 'birds', 'birdwatching', ""children's"", 'teenage', 'fiction', 'animals']",https://www.waterstones.com/book/the-bowerbird/julia-donaldson/catherine-rayner/9781529092240,https://cdn.waterstones.com/bookjackets/large/9781/5290/9781529092240.jpg
The Survivor: How I Survived Six Concentration Camps and Became a Nazi Hunter (Hardback),Josef Lewkowicz,"One of the last great untold stories of the Holocaust, The Survivor is an astonishing account of one man's unbreakable spirit, unshakeable faith, and extraordinary courage in the face of evil. At only sixteen years old, Josef Lewkowicz became a number, prisoner 85314. Following the Nazi invasion of Poland, he and his father were separated from their family and herded to the Krakow-Plaszow concentration camp. Forced to carry out hard labour in brutal conditions, and to live under the constant threat of extreme violence and sudden death, before the war was over Josef would witness the unique horrors of six of the most notorious Nazi concentration camps, including Auschwitz, Mauthausen and Ebensee. From salt mines to forced marches, summary executions to Amstetten, where prisoners were used as human shields in Allied bombing, Josef lived under the spectre of death for many years. When he was liberated from Ebensee at the end of the war, conditions were amongst the worst witnessed by allied forces. With his freedom, Josef returned home to find that he was the only one left alive in an extended family of 150. Compelled by the need to do something to avenge that loss, he joined the Jewish police while still in a displaced persons' camp, and was recruited as an intelligence officer for the US Army who gave him a team to search for Nazis in hiding. Whilst rounding up SS leaders, he played a critical role in identifying and bringing to justice his greatest tormentor, the Butcher of Plaszow, Amon Goeth, played by Ralph Fiennes in Schindler's List. He then committed his life to helping the orphaned children of the Holocaust rebuild their lives. The Survivor is Josef's extraordinary testimony.",2023-03-30,"['history', 'historicalevents', 'topics', 'genocide', 'ethniccleansing', 'theholocaust', '', 'biography', 'truestories', 'memoirs', 'history', 'militaryhistory', 'secondworldwar']",https://www.waterstones.com/book/the-survivor/josef-lewkowicz/michael-calvin/9781787636293,https://cdn.waterstones.com/bookjackets/large/9781/7876/9781787636293.jpg
The Secrets of Hartwood Hall: The mysterious and atmospheric gothic novel for fans of Stacey Halls (Hardback),Katie Lumsden,"It's 1852 and Margaret Lennox, a young widow, is offered a position as governess at Hartwood Hall. She quickly accepts, hoping this isolated country house will allow her to leave her past behind. Cut off from the village, Margaret soon starts to feel there's something odd about her new home, despite her growing fondness for her bright, affectionate pupil, Louis. There are strange figures in the dark, tensions between servants and an abandoned east wing. Even stranger is the local gossip surrounding Mrs Eversham, Louis's widowed mother, who is deeply distrusted in the village. Margaret finds distraction in a forbidden relationship with the gardener, Paul. But despite his efforts to reassure her, Margaret is certain that everyone here has something hide. And as Margaret's own past threatens to catch up with her, she must learn to trust her instincts before it's too late... The Secrets of Hartwood Hall is a chilling gothic mystery, and an authentic and atmospheric love letter to Victorian fiction.",2023-03-30,"['fiction', 'historicalfiction']",https://www.waterstones.com/book/the-secrets-of-hartwood-hall/katie-lumsden/9780241556078,https://cdn.waterstones.com/bookjackets/large/9780/2415/9780241556078.jpg
Why Politics Fails: The Five Traps of the Modern World & How to Escape Them (Hardback),Ben Ansell,"Why do the revolving doors of power always leave us disappointed? In Why Politics Fails, award-winning Oxford professor Ben Ansell shows that it's not the politicians that are the problem, it's that our collective goals result in five political 'traps'.Democracy: we all want a say in how we're governed, but it's impossible to have any true 'will of the people'. Equality: we want to be treated equally, but equal rights and equal outcomes undermine each other. Solidarity: we want a safety net when times are tough, but often we care about solidarity only when we need it ourselves. Security: we want protecting from harm, but not if it undermines our freedoms. Prosperity: we want to be richer tomorrow, but what makes us richer in the short run makes us poorer over the long haul.You've probably noticed a pattern here, which is that our self-interest undermines our ability to deliver on our collective goals. And these traps reinforce one another, so a polarized democracy can worsen inequality; a threadbare social safety net can worsen crime; runaway climate change will threaten global peace.Drawing on examples from Ancient Greece through Brexit and using his own counterintuitive and pathbreaking research - on why democracy thrives under high inequality, and how increased political and social equality can lead to greater class inequality - Ansell vividly illustrates how we can escape the political traps of our imperfect world. He shows that politics won't end, but that it doesn't have to fail.",2023-03-30,"['politics', 'society', 'education', 'politics', 'government', 'politicalscience', 'theory', '', 'spirituality', 'beliefs', 'religion', 'religion:general', 'religiousissues', 'debates', 'politics', 'society', 'education', 'society', 'culture', 'socialissues', 'processes', 'socialdiscrimination', 'inequality']",https://www.waterstones.com/book/why-politics-fails/ben-ansell/9780241517628,https://cdn.waterstones.com/bookjackets/large/9780/2415/9780241517628.jpg
The Price of Money: How to Prosper in a Financial World That's Rigged Against You (Hardback),Rob Dix,"Learn how to make better financial decisions, by understanding how the world of money really works. Why is everything from cars to coffee suddenly getting more expensive? How can the government produce billions out of thin air while your savings are shrinking? And what can you do to get ahead in a time of economic chaos? For centuries, working hard and saving up diligently would have set you up for financial security and a comfortable retirement. Not anymore. Over the last 50 years, we've entered a new financial world - one where your savings lose value faster than you can build them, a global mountain of debt piles up ever higher, and most people slip backwards however hard they try. The Price of Money, a leading investment expert explains what's changed - and what you should do now we're here. You'll learn why currencies the world over have lost 99 per cent of their value, and how to use future declines to your advantage. You'll understand how the government can produce hundreds of billions out of thin air, and which investments benefit when they do. Most importantly, you'll be shown what's coming next - and how to position yourself to gain rather than suffer. You don't need even the slightest knowledge of economics to read this book - just a desire to understand why the world of money is working against you, and what to do about it.",2023-03-30,"['health', 'lifestyle', 'personalfinance', '', 'business', 'finance', 'law', 'economics', 'populareconomics', 'business', 'finance', 'law', 'finance']",https://www.waterstones.com/book/the-price-of-money/rob-dix/9781529910988,https://cdn.waterstones.com/bookjackets/large/9781/5299/9781529910988.jpg
The Mousetrap: 70th Anniversary Edition (Hardback),Agatha Christie,"For 70 years, Agatha Christie's The Mousetrap has kept millions of people, from every corner of the globe, on the edge of their seats, and it continues to be a sell-out hit of London theatre. This brand new edition of the world's longest-running play will contain a new introduction by Sophie Hannah, bestselling author of the authorised Agatha Christie Poirot continuation novels, as well as the official play script and a host of exclusive material from the show's archives. As news spreads of a murder in London, a group of seven strangers find themselves in a remote countryside guesthouse. When a police sergeant arrives, the guests discover - to their horror - that a killer is in their midst. One by one, the suspicious characters reveal their sordid pasts. Which one is the murderer? Who will be their next victim? And can you solve this world-famous mystery for yourself? This beautiful 70th anniversary edition will contain an introduction by Sophie Hannah, the official playscript, an exclusive interview with producer Adam Spiegel, a treasure trove of letters, speeches, photographs, and other fascinating insights into the making of this iconic play.",2023-03-30,"['poetry', 'drama', 'criticism', 'plays', 'playscripts', '', 'entertainment', 'theatre', 'dance', 'otherperformingarts', 'theatre', 'theatredirection', 'production', 'crime', 'thrillers', 'mystery', 'crime', 'mystery', 'classiccrime']",https://www.waterstones.com/book/the-mousetrap/agatha-christie/9781398715813,https://cdn.waterstones.com/bookjackets/large/9781/3987/9781398715813.jpg
My Russia: War or Peace? (Hardback),Mikhail Shishkin,"In his timely new book, Mikhail Shishkin, argues that Russia is not a 'riddle wrapped in a mystery inside an enigma': we just don't know enough about it. So what is the real story behind Putin's autocratic regime and its invasion of Ukraine? In My Russia: War or Peace? Shishkin traces the roots of Russia's problems, from the 'Kievan Rus' via the Grand Duchy of Moscow, empire, revolution and Cold War, to the now thirty-year-old Russian Federation. He explores the uneasy relationship between state and citizens, explains Russian attitudes to people's rights and democracy, and proposes that there are really two Russian peoples: the disillusioned and disaffected, who suffer from 'slave mentality', and those who embrace 'European' values and try to stand up to oppression. Both deeply personal and taking a broader historical view, My Russia is a passionate, eye-opening account of a state entangled in a complex and bloody past, as well as a love letter to a conflicted country. Will Russia continue its vicious circle of upheaval and autocracy, or will its people find a way out of history - and how can we help?",2023-03-30,"['poetry', 'drama', 'criticism', 'prose:non-fiction', 'literaryessays', '', 'history', 'general', 'worldhistory', 'politics', 'society', 'education', 'politics', 'government']",https://www.waterstones.com/book/my-russia-war-or-peace/mikhail-shishkin/gesche-ipsen/9781529427783,https://cdn.waterstones.com/bookjackets/large/9781/5294/9781529427783.jpg
Tomas Nevinson (Hardback),Javier Marias,"Tomás Nevinson has left the secret service and returned to his old job working in the British Embassy in Madrid. Assumed dead by his wife Berta, Tomás attempts to resume his previous life and heal from his psychological wounds. But when he is contacted by his old boss, Bertram Tupra, Nevinson reluctantly becomes involved in a plan to locate and eliminate a woman believed to have helped orchestrate the 1987 Hipercor bombing. Detonated by the ETA, a Basque separatist group, the bomb killed 21 people and injured 45. Full of mesmerising intrigue, Tomás Nevinson offers a deep reflection into the moral dilemma of whether the killing of a presumed criminal can be justified. Marías' meticulous insight and dazzling intellectual vigour show why he is so often said to be Spain's greatest writer.",2023-03-30,"['crime', 'thrillers', 'mystery', 'thrillers', 'espionage', 'spythrillers', '', 'fiction', 'modern', 'contemporaryfiction', 'crime', 'thrillers', 'mystery', 'crime', 'mystery']",https://www.waterstones.com/book/tomas-nevinson/javier-marias/margaret-jull-costa/9780241568613,https://cdn.waterstones.com/override/v1/large/9780/2415/9780241568613.jpg
