title,author,publish_date,synopsis,genre,purchase_link,img_link
Frank and Fearless: A Life in Boxing (Hardback),Frank Warren,"The story of my life would be a bloody sight shorter if the man who tried to murder me outside the Broadway Theatre in Barking on a winter's evening in 1989 had succeeded. He nearly did.Frank Warren has spent forty years working with boxing's most colourful and controversial characters. In his long-awaited autobiography, he reflects on the battles he had to win to reach the top and remain there, not least the battle to stay alive after he was shot at point-blank range in an attempted assassination in 1989.In Frank and Fearless, Warren pulls no punches, taking us behind the scenes into a world of blood and sweat, and intense relationships that all too often end in tears. Under Warren's careful stewardship, Frank Bruno, Naseem Hamed, Joe Calzaghe, Ricky Hatton, Amir Khan and Tyson Fury all became world champions. So did Terry Marsh, the man who was later accused, and cleared, of trying to murder him. Along the way, Warren has been assaulted in a hotel room by the formidable Mike Tyson and gone toe to toe in a court room with his erstwhile partner, the flamboyant Don King.However, boxing is only part of the story that begins on a council estate in 1950s North London, where Warren first learnt how to stand up to bullies. That was how he overcame and outwitted the powerful cartel that controlled British boxing and tried to stop his career before it started, and it is why he is still around to reflect on his remarkable life.With cameo appearances from Frank Sinatra, Luciano Pavarotti, Pink Floyd and the Philadelphia mafia, Frank and Fearless is the unflinchingly candid and hard-hitting memoir of Britain's most famous and influential boxing promoter.",2023-06-15,"['biography', 'truestories', 'sportbiographies', 'sportautobiographies', '', 'biography', 'truestories', 'generalbiography', 'generalautobiography', 'biography', 'truestories', 'memoirs']",https://www.waterstones.com/book/frank-and-fearless/frank-warren/9781472126528,https://cdn.waterstones.com/bookjackets/large/9781/4721/9781472126528.jpg
The Human Origins of Beatrice Porter and Other Essential Ghosts (Hardback),Soraya Palmer,"A Today Show Most Anticipated Book of 2023 An Electric Literature Recommendation for 2023 A Goodreads Buzziest Debut of 2023  'A beautiful ode to the power of storytelling' Eleanor Shearer  'A brilliant, compelling exploration of familial legacies. A mythic and edifying read' Irenosen Okojie, author of Speak Gigantular  Growing up in Brooklyn with their Caribbean parents, Zora and Sasha Porter's days were enchanted by stories from the islands - the mischievous spider Anansi both seductive and vengeful; the flame-breathing Rolling Calf who haunts butchers; and ocean-dwelling Mama Dglo, said to be half snake, half human.  Now they are teenagers, and life at home has become unbearable. Their parents' tempestuous relationship has fallen apart, their mother Beatrice desperately ill, their father Nigel living with another woman. While an unsettled Zora escapes into her journal, dreaming of being a writer, Sasha discovers sex and chest binding, spending more time with her new girlfriend than at home. But they can't hide forever. The Anansi Stories that captivated them as children begin to creep into the present, revealing truths about the Porter family's past they must all face up to.  The Human Origins of Beatrice Porter and Other Essential Ghosts is an extraordinary debut novel, a celebration of the power of stories that asks - what happens when ours are erased? Do we disappear? Or do we come back haunting?",2023-04-27,"['fiction', 'modern', 'contemporaryfiction', '', 'fiction']",https://www.waterstones.com/book/the-human-origins-of-beatrice-porter-and-other-essential-ghosts/soraya-palmer/9781788168403,https://cdn.waterstones.com/bookjackets/large/9781/7881/9781788168403.jpg
Death at the Terminus: The bestselling Victorian mystery series - Railway Detective (Hardback),Edward Marston,"1865. A passenger train stands ready to depart amid the bustle at York station. The flurry of passengers and porters, the swooping pigeons and barking dogs are thrown into a state of turmoil when an explosion rips through the brake van of the train killing guard Jack Follis.  In response to a summons from the North Eastern Railway, Inspector Robert Colbeck and Sergeant Leeming are sent to investigate. Was it an accident, deliberate vandalism or targeted murder? The longer the investigation goes on, the more complex it becomes. With a dizzying array of suspects and motives, will the combined skills of the detectives be enough to identify and catch the culprit?",2023-04-20,"['crime', 'thrillers', 'mystery', 'crime', 'mystery']",https://www.waterstones.com/book/death-at-the-terminus/edward-marston/9780749028244,https://cdn.waterstones.com/bookjackets/large/9780/7490/9780749028244.jpg
Main Character Energy: 10 Commandments for Living Life Fearlessly (Hardback),Fats Timbo,"You are the hero that your story needs. I'm Fats/Fatima. I'm a comedian. I make jokes and videos. Sometimes I go on news programmes and tell men with bad tans what life is like for little people. I do this because I am a little person, in case you were wondering. It would be an odd thing to do if I wasn't. My life hasn't always been easy, but through the good and the bad times I've learned a few lessons which have made me fearless - how to be the hero that my story needs. Now, I want to share those lessons with you. So you can be the main character in your life, no matter what your challenges may be. So come on in. My story, like yours, is ready to begin.",2023-04-13,"['health', 'lifestyle', 'self-help', 'personaldevelopment', '', 'biography', 'truestories', 'memoirs']",https://www.waterstones.com/book/main-character-energy/fats-timbo/9781788708494,https://cdn.waterstones.com/bookjackets/large/9781/7887/9781788708494.jpg
Nemesis (Hardback),Wilbur Smith,"A fight for honour. A quest for revenge. Paris, 1794. Revolutionary fervour has erupted into the Reign of Terror. A young man, Paul Courtney, hides in a crowd watching as the condemned are brought to the guillotine. Among them is Constance Courtney, Paul's mother. As he watches her brutal execution, he knows he must avoid the same fate and fulfil his promise to her - to survive, no matter what. He joins Napoleon's army and is taken to Egypt, but with the world at war and traitors in every corner, just how far will Paul go to ensure his own survival? Cape Town, 1806. Adam Courtney has spent his life in service to the navy and in the shadow of his father, the illustrious Admiral Robert Courtney. But when he returns home to Nativity Bay to find the homestead destroyed and the Courtney family murdered, Adam must accept his destiny and seek vengeance. Robert gives Adam the prized family heirloom, the Neptune sword, and makes his son swear on its blade that he will not rest until he has delivered justice. From Cape Town to Calcutta, on a quest for his family's honour, Adam discovers that the enemy he seeks may be closer to him than he realises...",2023-04-13,"['fiction', 'adventure', 'historicaladventure', '', 'fiction', 'adventure', 'war', 'combatfiction']",https://www.waterstones.com/book/nemesis/wilbur-smith/tom-harper/9781804180136,https://cdn.waterstones.com/bookjackets/large/9781/8041/9781804180136.jpg
Our King: Charles III: The Man and the Monarch Revealed (Hardback),Robert Jobson,"'To Charles, being monarch has nothing to do with power - he believes his role is to lead. It is up to others whether they choose to follow.' When Her Majesty Queen Elizabeth II died in September 2022, it sent shockwaves around the world. The longest reigning and oldest monarch, at ninety-six years of age, she had just publicly celebrated her Platinum Jubilee in June 2022. The Queen's death meant the passing of the Crown to her son, HRH Charles, Prince of Wales, her controversial, earnest, and outspoken heir, who had long lived in the shadow of her mystique. King Charles III's own life has been marred by scandal and myth, but who is the real man behind the Crown? In this revelatory book, renowned royal correspondent and author Robert Jobson examines the life of our new King, and his passions, purpose, and motivations. On the eve of his landmark coronation, Our King considers the life of the man and the monarch, reflecting on how his values and beliefs will shape him as he takes on this monumental role.",2023-04-13,"['biography', 'truestories', 'royalbiographies']",https://www.waterstones.com/book/our-king-charles-iii/robert-jobson/9781789467048,https://cdn.waterstones.com/bookjackets/large/9781/7894/9781789467048.jpg
Spare Us: A Harrody (Hardback),Bruno Vincent,"'All I had ever wanted was privacy. In order to get it, it seemed that an exceptionally detailed 500,000-word book was in order...'  He was born into an ancient powerful dynasty and, through no fault of his own, became one of the most recognisable men on the planet. His life was a constant barrage of press intrusion and manipulation. Until finally, he demanded that it stop. In order to get the privacy he so craved, he has written a frostbite-and-all book that goes deep inside the castle walls and exposes every shouting match, fist-fight, betrayal, teddy bear, awkward hug and tear-stained wedding rehearsal for the world to feast their eyes on. All for privacy! This is his story.",2023-04-06,"['humour', 'generalhumour']",https://www.waterstones.com/book/spare-us/bruno-vincent/9780349146065,https://cdn.waterstones.com/override/v1/large/9780/3491/9780349146065.jpg
On the Origin of Time: Stephen Hawking's Final Theory (Hardback),Thomas Hertog,"Stephen Hawking's closest collaborator offers the intellectual superstar's final thoughts on the cosmos - a dramatic revision of the theory he put forward in A Brief History of Time. Perhaps the biggest question Stephen Hawking tried to answer in his extraordinary life was how the universe could have created conditions so perfectly hospitable to life. In order to solve this mystery, Hawking studied the big bang origin of the universe, but his early work ran into a crisis when the math predicted many big bangs producing a multiverse - countless different universes, most of which would be far too bizarre to ?harbour life. Holed up in the theoretical physics department at Cambridge, Stephen Hawking and his friend and collaborator Thomas Hertog worked on this problem for twenty years, developing a new theory of the cosmos that could account for the emergence of life. Peering into the extreme quantum physics of cosmic holograms and venturing far back in time, they were startled to find a deeper level of evolution in which the physical laws themselves transform and simplify until particles, forces, and even time itself fades away. This discovery led them to a revolutionary idea: The laws of physics are not set in stone but are born and co-evolve as the universe they govern takes shape. As Hawking's final days drew near, the two collaborators published their theory, which proposed a radical new Darwinian perspective on the origins of our universe. On the Origin of Time offers a striking new vision of the universe's birth that will profoundly transform the way we think about our place in the order of the cosmos and may ultimately prove to be Hawking's greatest legacy.",2023-04-06,"['popularscience', 'nature', 'popularscience', '', 'science', 'technology', 'medicine', 'mathematics', 'science', 'astronomy', 'space', 'time', 'cosmology', 'theuniverse', 'science', 'technology', 'medicine', 'mathematics', 'science', 'physics', 'appliedphysics']",https://www.waterstones.com/book/on-the-origin-of-time/thomas-hertog/9781911709084,https://cdn.waterstones.com/bookjackets/large/9781/9117/9781911709084.jpg
Fish for Dinner: Delicious Seafood Recipes to Cook at Home (Hardback),Nathan Outlaw,"A brand new collection from the UK's most celebrated fish chef that explains what fish to cook and how to cook it, and provides tasty and inspiring ways to cook seasonal and sustainable fish for dinner. In Fish for Dinner, Michelin-starred seafood chef Nathan Outlaw gives his expert advice on what fish to cook and how to cook it, alongside more than 70 of his best seafood recipes. With illustrated preparation techniques, all of Nathan's top tips and species substitutes for every recipe, it is easy to cook delicious fish at home. From hearty stews to delicate soups, moreish snacks to perfect pan-fried dinners and super seafood salads to smoky barbecue specials, there is a fish dish for every occasion.",2023-04-06,"['food', 'drink', 'cookerybyingredient', 'fish', 'seafood', '', 'food', 'drink', 'quick', 'easycooking', 'food', 'drink', 'cookingwithgadgets']",https://www.waterstones.com/book/fish-for-dinner/nathan-outlaw/9781914239809,https://cdn.waterstones.com/bookjackets/large/9781/9142/9781914239809.jpg
Sweet Enough: A Baking Book (Hardback),Alison Roman,"Casual, effortless, chic: these are not words you'd use to describe most desserts. But before Alison made recipes so perfect that they go by one name - The Cookie, The Pasta, The Lemon Cake - she was a restaurant pastry chef who spent most of her time learning to make things the hard way. She studied flavour, technique, and precision, then distilled her knowledge to pare it all down to create dessert recipes that feel special and approachable, impressive and doable. In Sweet Enough, Alison has written the book for people who think they don't have the time or skill to pull off dessert. Here, the desserts you want to make right away, you can make right away. Alison shows you how to make simple yet sublime sweets with her trademark casualness, like how to make jam in the oven, then turn that jam into a dessert - swirled into ice cream or folded into easy one-bowl cake batter (opening a jar of jam is more than fine, too). She waxes poetic on the virtues of frozen fruit and teaches you the best way to throw your own Sundae Party. There are effortless cakes that take just minutes to get into a pan. And there are new, instant classics with a signature Alison twist, like Salted Lemon Pie, Raspberries and Sour Cream, Toasted Rice Pudding, or a Caramelised Maple Tart. Requiring little more than your own two hands and a few mixing bowls, the recipes are geared towards those without fancy equipment or specialty ingredients. Whether you're a dedicated baker or, better yet, someone who doesn't think they are a baker, Sweet Enough lets you finish any dinner, any party, or any car ride to a dinner party with a little something wonderful and sweet.",2023-04-06,"['food', 'drink', 'tv/celebritychefcookbooks', '', 'food', 'drink', 'cookerydishes', 'courses', 'desserts', 'food', 'drink', 'cakes', 'baking', 'icing', 'sugarcraft']",https://www.waterstones.com/book/sweet-enough/alison-roman/9781743799475,https://cdn.waterstones.com/bookjackets/large/9781/7437/9781743799475.jpg
